
end_station_name,count
San Francisco Caltrain (Townsend at 4th),20360
2nd at Townsend,17197
Townsend at 7th,16805
Market at Sansome,13077
Embarcadero at Sansome,11505
San Francisco Caltrain 2 (330 Townsend),10805
Embarcadero at Folsom,10743
Howard at 2nd,10408
Steuart at Market,10355
Temporary Transbay Terminal (Howard at Beale),9640
